StuNo.       Name              Gender         Phone             Wechat       Dormitory     Score
20170903     Bimarsh           M         15325813073         10000        2-5-2001      100
20170906     Saad              M         15325813074         10001        2-5-2001      99
20170907     Aissa             M         15325813999         10798        9-8-2145      98 
20170908     takh              M         15325813131         10785        4-5-1002      66
20170909     Shakh             M         15325813132         10072        4-5-1002      54
20170910     Sherzod           M         15325813133         10062        4-5-1008      46
20170911     Assel             F        15325813134         10115       4-5-1047      85 
20170913     Yassine           M         15325813135         10117       6-5-1045      86
20170917     Jannat            F        15325813175         10116       9-8-1050      78
20170918     Mamun             M         15325813176         10112       4-5-1211      90
20170919     Ashikur           M          15325813177         10781       4-5-1020      92
20170924     Noushad           M          15325813178         10111       4-6-9689      64
20170925     Alami             M          15325813179         10556       4-6-9689      79
20170930     Nada              F         15325813190         10745      4-5-1048      90
20170933     Rachel            F        15325813195         10777      4-5-1048      82
20170946     Aidana            F         15325813192         10666      4-5-1048      75
20172501     Hnouda            F         15325813182         10555      4-5-1017      88
20172507     Rafin             M          15325813189         16969      4-5-2000      93
20172509     Hind              F         15325813197         10239      1-2-1111      71
20172528     Lamyae            F         15325813100         10262      1-2-1111      75
